# NB Double Stereo - measured-ground TS traverse example
# Canada / New Brunswick Stereographic Double Projection (EPSG:2953 family)
# Fixed controls are in NB grid coordinates (N,E,H).
# TS observations are measured-ground (default .MEASURED behavior).
.3D
.UNITS M
.ORDER NE
.CRS GRID CA_NAD83_CSRS_NB_STEREO_DOUBLE
.GEOID OFF
.MEASURED
I S9 "Trimble S9 0.5" 0.001 0.5 0.5 0.5 0.002 0.002
.I S9

# Fixed control (N E Elev)
C C101 7500960.0000 2500960.0000 42.7000 ! ! !
C C102 7501100.0000 2501100.0000 42.9000 ! ! !
C C103 7501120.0000 2501100.0000 43.0000 ! ! !
C C104 7501480.0000 2501480.0000 44.1000 ! ! !

# Approximate unknowns (N E Elev)
C S1 7501040.1000 2501039.9000 43.1000
C S2 7501119.9000 2501120.1000 43.3000
C S3 7501205.1000 2501199.9000 43.5000
C S4 7501289.9000 2501280.1000 43.7000
C S5 7501375.1000 2501364.9000 43.9000
C SS1 7501060.0000 2501160.0000 43.0000
C SS2 7501160.0000 2501245.0000 43.2000
C SS3 7501230.0000 2501335.0000 43.6000

# Resection at S1 then 5 total-station setups (M at-from-to)
# Setup S1 backsight C101
M S1-C101-C101 000-00-00.0 113.1210 090-12-10.4 1.700/1.700
M S1-C101-C102 179-59-57.6 84.8411 090-08-04.3 1.700/1.700
M S1-C101-C103 171-21-19.3 99.9883 090-03-23.9 1.700/1.700
M S1-C101-S2 180-00-04.4 113.1268 089-53-49.7 1.700/1.700

# Setup S2 backsight S1
M S2-S1-S1 000-00-00.0 113.1195 090-06-03.2 1.700/1.700
M S2-S1-C102 000-00-04.3 28.2786 090-48-35.7 1.700/1.700
M S2-S1-S3 178-08-47.4 116.7161 089-54-07.6 1.700/1.700

# Setup S3 backsight S2
M S3-S2-S2 000-00-00.0 116.7124 090-05-53.6 1.700/1.700
M S3-S2-C103 005-51-21.8 131.2331 090-13-07.3 1.700/1.700
M S3-S2-S4 179-46-42.8 116.7134 089-54-05.9 1.700/1.700

# Setup S4 backsight S3
M S4-S3-S3 000-00-00.0 116.7181 090-05-51.2 1.700/1.700
M S4-S3-C104 183-19-26.1 275.8366 089-54-58.7 1.700/1.700
M S4-S3-S5 181-38-47.9 120.1927 089-54-16.5 1.700/1.700

# Setup S5 backsight S4
M S5-S4-S4 000-00-00.0 120.2003 090-05-41.7 1.700/1.700
M S5-S4-C104 182-49-31.3 155.7055 089-55-35.2 1.700/1.700
M S5-S4-C102 359-09-42.6 381.8619 090-09-01.4 1.700/1.700

# At-from-to sideshots (excluded from adjustment equations)
SS S2-S1-SS1 281-18-35.8 72.1048 090-14-18.1 1.700/1.700
SS S3-S2-SS2 271-44-08.5 63.6343 090-16-12.3 1.700/1.700
SS S4-S3-SS3 274-13-30.9 81.3864 090-04-13.4 1.700/1.700
