# STAR*NET test data: resection + pillars (directions-only)
# Exported from TriangulationDMS_GoogleSheets_with_Resection_v2.xlsx
# 2D network. Coordinates are entered as: C Point  North(Y)  East(X)  [! ! to fix].
.2D
.ORDER NE

# Instrument (Trimble S9 ~0.5")
# I <CODE> <Desc-with-dashes> <dist_a_ppm> <dist_b_const> <angle_std(")> <gps_xy_std(m)> <lev_std(mm/km)>
I TS1 TRIMBLE-S9-0.5arcsec 0 0 0.5 0 0

# Fixed control points (wall targets)
C B0288050 2.952000 0.008000 ! !
C B0524290 5.424000 -0.010000 ! !
C R0725300 0.000000 7.250000 ! !
C R1025050 -0.009000 10.240000 ! !
C R1325300 0.002000 13.250000 ! !
C L0725300 5.967000 7.209000 ! !
C L1025300 5.969000 10.216000 ! !
C L1325300 5.975000 13.233000 ! !

# Approximate instrument stations (free)
C S1 2.835000 12.277000
C S2 2.719000 8.951000

# Approximate pillar points (free)
C A 0.898893 18.688280
C B 0.901251 10.171530
C C 0.888198 5.895932
C D 4.397538 10.161390

# Truth (for comparison only; not used by STAR*NET):
#   A: X(E)=18.688280  Y(N)=0.898893  Z=1.336
#   B: X(E)=10.171530  Y(N)=0.901251  Z=1.346
#   C: X(E)=5.895932  Y(N)=0.888198  Z=1.351
#   D: X(E)=10.161390  Y(N)=4.397538  Z=1.311

# Direction sets (DB/DN/DE). Each Set_No has two sets: FI and FII (raw plate readings).
DB TS1 S1
DN B0288050 270-32-35.00
DN B0524290 281-53-55.00
DN L0725300 301-42-54.00
DN L1025300 326-41-41.00
DN L1325300 16-55-21.00
DN R0725300 240-35-15.00
DN R1325300 161-03-36.00
DN A 106-48-27.00
DN B 227-25-30.00
DN C 253-02-03.00
DN D 306-27-49.00
DE

DB TS1 S1
DN B0288050 90-32-54.00
DN B0524290 101-54-07.00
DN L0725300 121-43-08.00
DN L1025300 146-41-51.00
DN L1325300 196-55-35.00
DN R0725300 60-35-33.00
DN R1325300 341-03-44.00
DN A 286-48-40.00
DN B 47-25-50.00
DN C 73-02-16.00
DN D 126-28-05.00
DE

DB TS1 S1
DN B0288050 270-32-41.00
DN B0524290 281-53-56.00
DN L0725300 301-42-51.00
DN L1025300 326-41-39.00
DN L1325300 16-55-21.00
DN R0725300 240-35-15.00
DN R1325300 161-03-36.00
DN A 106-48-26.00
DN B 227-25-33.00
DN C 253-02-04.00
DN D 306-27-53.00
DE

DB TS1 S1
DN B0288050 90-32-55.00
DN B0524290 101-54-09.00
DN L0725300 121-43-01.00
DN L1025300 146-41-52.00
DN L1325300 196-55-35.00
DN R0725300 60-35-35.00
DN R1325300 341-03-46.00
DN A 286-48-41.00
DN B 47-25-46.00
DN C 73-02-17.00
DN D 126-27-57.00
DE

DB TS1 S1
DN B0288050 270-32-38.00
DN B0524290 281-53-47.00
DN L0725300 301-42-46.00
DN L1025300 326-41-38.00
DN L1325300 16-55-21.00
DN R0725300 240-35-13.00
DN R1325300 161-03-35.00
DN A 106-48-25.00
DN B 227-25-33.00
DN C 253-02-05.00
DN D 306-27-50.00
DE

DB TS1 S1
DN B0288050 90-32-50.00
DN B0524290 101-54-04.00
DN L0725300 121-42-57.00
DN L1025300 146-41-52.00
DN L1325300 196-55-37.00
DN R0725300 60-35-28.00
DN R1325300 341-03-42.00
DN A 286-48-41.00
DN B 47-25-47.00
DN C 73-02-18.00
DN D 126-28-00.00
DE

DB TS1 S1
DN A 106-48-26.00
DN B 227-25-33.00
DN C 253-02-06.00
DN D 306-27-49.00
DE

DB TS1 S1
DN A 286-48-42.00
DN B 47-25-48.00
DN C 73-02-17.00
DN D 126-28-02.00
DE

DB TS1 S2
DN B0288050 350-38-22.00
DN B0524290 2-00-00.00
DN L0725300 22-11-33.00
DN L1025300 47-10-19.00
DN L1325300 97-24-04.00
DN R0725300 321-57-59.00
DN R1025050 292-01-15.00
DN R1325300 241-47-29.00
DN A 100-35-50.00
DN B 146-07-11.00
DN C 239-03-56.00
DN D 35-48-55.00
DE

DB TS1 S2
DN B0288050 170-38-26.00
DN B0524290 182-00-05.00
DN L0725300 202-11-37.00
DN L1025300 227-10-24.00
DN L1325300 277-24-08.00
DN R0725300 141-58-03.00
DN R1025050 112-01-20.00
DN R1325300 61-47-34.00
DN A 280-35-59.00
DN B 326-07-23.00
DN C 59-04-04.00
DN D 215-49-06.00
DE

DB TS1 S2
DN B0288050 350-38-19.00
DN B0524290 1-59-59.00
DN L0725300 22-11-32.00
DN L1025300 47-10-19.00
DN L1325300 97-24-03.00
DN R0725300 321-57-58.00
DN R1025050 292-01-14.00
DN R1325300 241-47-28.00
DN A 100-35-45.00
DN B 146-07-09.00
DN C 239-03-56.00
DN D 35-48-55.00
DE

DB TS1 S2
DN B0288050 170-38-24.00
DN B0524290 181-59-59.00
DN L0725300 202-11-37.00
DN L1025300 227-10-22.00
DN L1325300 277-24-08.00
DN R0725300 141-58-03.00
DN R1025050 112-01-20.00
DN R1325300 61-47-34.00
DN A 280-35-59.00
DN B 326-07-21.00
DN C 59-04-07.00
DN D 215-49-05.00
DE

DB TS1 S2
DN B0288050 350-38-17.00
DN B0524290 1-59-58.00
DN L0725300 22-11-31.00
DN L1025300 47-10-17.00
DN L1325300 97-24-02.00
DN R0725300 321-57-57.00
DN R1025050 292-01-12.00
DN R1325300 241-47-26.00
DN A 100-35-47.00
DN B 146-07-10.00
DN C 239-03-59.00
DN D 35-48-53.00
DE

DB TS1 S2
DN B0288050 170-38-21.00
DN B0524290 182-00-01.00
DN L0725300 202-11-35.00
DN L1025300 227-10-22.00
DN L1325300 277-24-06.00
DN R0725300 141-58-01.00
DN R1025050 112-01-18.00
DN R1325300 61-47-31.00
DN A 280-35-59.00
DN B 326-07-24.00
DN C 59-04-07.00
DN D 215-49-04.00
DE

DB TS1 S2
DN A 100-35-50.00
DN B 146-07-12.00
DN C 239-03-59.00
DN D 35-48-55.00
DE

DB TS1 S2
DN A 280-35-57.00
DN B 326-07-24.00
DN C 59-04-06.00
DN D 215-49-06.00
DE
